,class,country,countrycode,date_peak_1,date_peak_2,date_peak_3,dead_first_wave,duration_first_wave,duration_second_wave,duration_third_wave,first_wave_end,first_wave_start,last_confirmed,last_dead,last_tests,peak_1,peak_1_cfr,peak_1_dead_per_10k,peak_1_per_10k,peak_2,peak_2_cfr,peak_2_dead_per_10k,peak_2_per_10k,peak_3,peak_3_cfr,peak_3_dead_per_10k,peak_3_per_10k,population,second_wave_end,second_wave_start,t0,t0_10_dead,t0_1_dead,t0_5_dead,t0_relative,testing_available,tests_first_wave,third_wave_end,third_wave_start,dead_second_wave,tests_second_wave,dead_third_wave,tests_third_wave
61,0.0,Micronesia,FSM,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,113815.0,,,,,,,,0.0,,,,,,,
62,5.0,Gabon,GAB,2020-06-15,2020-07-22,,46.0,189.0,294.0,168.0,2020-07-10,2020-01-03,22568.0,138.0,,51.714285714285715,0.00857907506065381,0.0013150927340929177,0.23803178487081814,70.14285714285714,0.0031359918633724615,0.0,0.3228552662198113,,,,,2172579.0,2020-11-13,2020-07-10,2020-05-14,2020-05-15,2020-03-20,2020-05-03,2020-04-03,0.0,,2021-04-30,2020-11-13,11.0,,,
63,4.0,United Kingdom,GBR,2020-04-18,2020-12-31,,40341.0,136.0,304.0,,2020-06-30,2020-02-15,4414246.0,127502.0,,4303.285714285715,0.14569671027425732,0.13100609312994235,0.6438728248251353,43341.857142857145,0.021439475989635123,0.07474764360832248,6.484961920863535,,,,,66834405.0,2021-03-26,2020-06-30,2020-03-13,2020-03-14,2020-03-07,2020-03-11,2020-03-08,1.0,,,,86104.0,112630555.0,,
64,2.0,Georgia,GEO,2020-12-04,,,3541.0,425.0,,,2021-03-03,2020-01-03,310310.0,4110.0,,4176.285714285715,0.013662642376352136,0.10137207876579803,11.225421782724771,,,,,,,,,3720382.0,,,2020-07-15,2020-05-09,2020-04-05,2020-04-22,2020-03-11,1.0,,,,,,,
65,4.0,Ghana,GHA,2020-07-24,2021-01-26,,301.0,273.0,210.0,,2020-10-02,2020-01-03,92562.0,779.0,,506.7142857142857,0.006695782334715198,0.0006575085370908455,0.16658448436151638,581.4285714285714,0.010324367088607596,0.0009392979101297793,0.1911471247114101,,,,,30417856.0,2021-03-26,2020-10-02,2020-04-20,2020-04-25,2020-03-24,2020-04-06,2020-04-01,1.0,,,,436.0,502216.1666666666,,
66,2.0,Gibraltar,GIB,2021-01-03,,,94.0,246.0,,,2021-03-20,2020-07-17,4283.0,94.0,,96.85714285714286,0.023005384238864415,0.04238958572657869,28.74013912262036,,,,,,,,,33701.0,,,2020-11-30,2021-01-07,2020-11-13,2020-11-25,2020-03-03,0.0,,,,,,,
67,3.0,Guinea,GIN,2020-08-13,,,80.0,359.0,124.0,,2020-12-27,2020-01-03,22215.0,144.0,,77.28571428571429,0.006982433666880165,0.00011185842231614898,0.060515406473036604,,,,,,,,,12771246.0,2021-04-30,2020-12-27,2020-04-27,2020-05-06,2020-04-16,2020-04-21,2020-04-05,0.0,,,,,,,
68,2.0,Gambia,GMB,2020-08-15,,,122.0,194.0,,,2020-12-21,2020-06-10,5887.0,174.0,,85.57142857142857,0.03271152311842255,0.02129738561813106,0.3644895424360144,,,,,,,,,2347706.0,,,2020-08-08,2020-08-05,2020-03-28,2020-07-22,2020-05-01,1.0,26892.0,,,,,,
69,2.0,Guinea-Bissau,GNB,2020-05-07,,,26.0,201.0,,,2020-07-22,2020-01-03,3733.0,67.0,,61.57142857142857,0.014619453423449896,0.0007436904926756153,0.32053060234319025,,,,,,,,,1920922.0,,,2020-05-19,2020-06-06,2020-04-27,2020-05-19,2020-04-04,0.0,,,,,,,
70,5.0,Greece,GRC,2020-03-29,2020-11-13,,175.0,147.0,336.0,103.0,2020-05-29,2020-01-03,342908.0,10315.0,,75.85714285714286,0.06397822859970313,0.0025328519563761844,0.07078654678082914,2404.285714285714,0.03960512176671329,0.03426015540993049,2.243573601358483,,,,,10716322.0,2021-01-17,2020-05-29,2020-03-29,2020-03-22,2020-03-12,2020-03-18,2020-03-08,1.0,,2021-04-30,2021-01-17,5266.0,3623694.0,,
71,0.0,Grenada,GRD,,,,,,,,,,161.0,1.0,,,,,,,,,,,,,,112003.0,,,,,2020-12-29,,2020-03-23,0.0,,,,,,,
72,0.0,Greenland,GRL,,,,,,,,,,31.0,0.0,,,,,,,,,,,,,,56225.0,,,,,,,2020-03-18,0.0,,,,,,,
73,2.0,Guatemala,GTM,2020-07-20,,,4688.0,354.0,,,2020-12-22,2020-01-03,226247.0,7500.0,,1349.142857142857,0.037646505437527504,0.023832429900693102,0.8125395956034139,,,,,,,,,16604026.0,,,2020-05-12,2020-04-24,2020-03-15,2020-04-14,2020-04-09,1.0,,,,,,,
