,class,confirmed_during_wave,country,countrycode,dead_during_wave,first_date_c1_above_threshold,first_date_c2_above_threshold,first_date_c3_above_threshold,first_date_c4_above_threshold,first_date_c5_above_threshold,first_date_c6_above_threshold,first_date_c7_above_threshold,first_date_c8_above_threshold,first_date_h2_above_threshold,first_date_h3_above_threshold,first_date_si_above_threshold,population,response_time_t0_10_dead,response_time_t0_1_dead,response_time_t0_5_dead,si_at_t0_10_dead,si_at_t0_1_dead,si_at_t0_5_dead,t0_10_dead,t0_1_dead,t0_5_dead,wave,wave_end,wave_start
109,1.0,80396.0,Libya,LBY,1139.0,2020-03-15,2020-04-16,2020-03-14,2020-03-22,2020-03-22,2020-03-22,2020-03-22,2020-03-16,,,2020-03-22,6777452.0,,,,96.3,90.74,96.3,2020-06-16,2020-04-03,2020-05-29,1.0,2020-11-27,2020-04-03
110,1.0,21913.0,Sri Lanka,LKA,98.0,2020-03-18,2020-03-16,2020-03-14,2020-03-14,2020-03-23,2020-03-18,2020-03-18,2020-03-19,,2020-02-06,2020-03-16,21803000.0,,,,76.85,100.0,100.0,2020-05-26,2020-03-29,2020-04-05,1.0,2020-11-27,2020-03-29
111,3.0,1817.0,Lithuania,LTU,78.0,2020-03-16,2020-03-16,2020-03-12,2020-03-16,,,2020-04-10,2020-03-16,,2020-04-07,2020-03-16,2786844.0,,,,81.48,81.48,81.48,2020-04-06,2020-03-21,2020-03-28,1.0,2020-07-01,2020-02-27
112,3.0,51940.0,Lithuania,LTU,371.0,2020-03-16,2020-03-16,2020-03-12,2020-03-16,,,2020-04-10,2020-03-16,,2020-04-07,2020-03-16,2786844.0,,,,34.26,31.48,34.26,2020-09-25,2020-07-04,2020-08-22,2.0,2020-11-27,2020-07-01
113,5.0,4020.0,Luxembourg,LUX,110.0,2020-03-16,2020-03-16,2020-03-13,2020-03-13,,2020-03-17,2020-03-15,,2020-05-11,2020-03-01,2020-03-16,619896.0,,,,79.63,42.59,79.63,2020-03-28,2020-03-14,2020-03-21,1.0,2020-06-04,2020-02-29
114,5.0,2710.0,Luxembourg,LUX,14.0,2020-03-16,2020-03-16,2020-03-13,2020-03-13,,2020-03-17,2020-03-15,,2020-05-11,2020-03-01,2020-03-16,619896.0,,,,31.48,24.07,22.22,2020-08-11,2020-07-13,2020-08-03,2.0,2020-09-04,2020-06-07
115,1.0,14678.0,Latvia,LVA,187.0,2020-03-13,2020-11-09,2020-03-13,2020-10-24,,,,2020-03-17,2020-06-10,2020-05-27,2020-03-17,1912789.0,,,,69.44,69.44,69.44,2020-04-23,2020-04-04,2020-04-13,1.0,2020-11-27,2020-04-04
116,1.0,340679.0,Morocco,MAR,5618.0,2020-03-16,2020-03-20,2020-03-14,2020-10-26,2020-03-20,2020-03-20,2020-03-13,2020-03-20,2020-06-11,,2020-03-20,36471769.0,,,,93.52,5.56,93.52,2020-03-27,2020-03-12,2020-03-25,1.0,2020-11-27,2020-03-12
117,1.0,102858.0,Moldova,MDA,2228.0,2020-03-11,,2020-03-10,2020-03-21,2020-03-23,2020-03-24,2020-03-24,2020-03-17,,2020-04-30,2020-03-23,2657637.0,,,,87.04,54.63,87.04,2020-04-05,2020-03-19,2020-04-02,1.0,2020-11-27,2020-03-19
118,2.0,16844.0,Madagascar,MDG,244.0,2020-03-21,2020-04-05,2020-03-21,,2020-03-21,2020-03-23,2020-03-21,2020-03-20,,,2020-03-21,26969307.0,,,,70.37,70.37,70.37,2020-06-11,2020-05-18,2020-05-30,1.0,2020-11-01,2020-04-27
