"COUNTRYCODE","CLASS","t","stringency_index"
"AND",0,-73,38.89
"AND",0,-72,38.89
"AND",0,-71,38.89
"AND",0,-70,38.89
"AND",0,-69,38.89
"AND",0,-68,38.89
"AND",0,-67,38.89
"AND",0,-66,38.89
"AND",0,-65,38.89
"AND",0,-64,38.89
"AND",0,-63,38.89
"AND",0,-62,38.89
"AND",0,-61,38.89
"AND",0,-60,38.89
"AND",0,-59,38.89
"AND",0,-58,38.89
"AND",0,-57,38.89
"AND",0,-56,38.89
"AND",0,-55,38.89
"AND",0,-54,38.89
"AND",0,-53,38.89
"AND",0,-52,38.89
"AND",0,-51,38.89
"AND",0,-50,38.89
"AND",0,-49,38.89
"AND",0,-48,27.78
"AND",0,-47,27.78
"AND",0,-46,27.78
"AND",0,-45,27.78
"AND",0,-44,27.78
"AND",0,-43,27.78
"AND",0,-42,41.67
"AND",0,-41,41.67
"AND",0,-40,41.67
"AND",0,-39,41.67
"AND",0,-38,41.67
"AND",0,-37,41.67
"AND",0,-36,41.67
"AND",0,-35,41.67
"AND",0,-34,41.67
"AND",0,-33,41.67
"AND",0,-32,41.67
"AND",0,-31,41.67
"AND",0,-30,41.67
"AND",0,-29,41.67
"AND",0,-28,36.11
"AND",0,-27,41.67
"AND",0,-26,41.67
"AND",0,-25,41.67
"AND",0,-24,41.67
"AND",0,-23,41.67
"AND",0,-22,41.67
"AND",0,-21,41.67
"AND",0,-20,44.44
"AND",0,-19,44.44
"AND",0,-18,44.44
"AND",0,-17,44.44
"AND",0,-16,44.44
"AND",0,-15,44.44
"AND",0,-14,44.44
"AND",0,-13,44.44
"AND",0,-12,44.44
"AND",0,-11,44.44
"AND",0,-10,44.44
"AND",0,-9,44.44
"AND",0,-8,44.44
"AND",0,-7,44.44
"AND",0,-6,44.44
"AND",0,-5,44.44
"AND",0,-4,44.44
"AND",0,-3,44.44
"AND",0,-2,44.44
"AND",0,-1,44.44
"ARE",2,-93,0
"ARE",2,-92,0
"ARE",2,-91,0
"ARE",2,-90,0
"ARE",2,-89,0
"ARE",2,-88,0
"ARE",2,-87,0
"ARE",2,-86,0
"ARE",2,-85,0
"ARE",2,-84,0
"ARE",2,-83,0
"ARE",2,-82,0
"ARE",2,-81,0
"ARE",2,-80,0
"ARE",2,-79,0
"ARE",2,-78,0
"ARE",2,-77,0
"ARE",2,-76,0
"ARE",2,-75,0
"ARE",2,-74,0
"ARE",2,-73,0
"ARE",2,-72,0
"ARE",2,-71,2.78
"ARE",2,-70,2.78
"ARE",2,-69,2.78
"ARE",2,-68,2.78
"ARE",2,-67,2.78
"ARE",2,-66,2.78
"ARE",2,-65,2.78
"ARE",2,-64,2.78
"ARE",2,-63,2.78
"ARE",2,-62,2.78
"ARE",2,-61,2.78
"ARE",2,-60,2.78
"ARE",2,-59,2.78
"ARE",2,-58,2.78
"ARE",2,-57,2.78
"ARE",2,-56,2.78
"ARE",2,-55,2.78
"ARE",2,-54,2.78
"ARE",2,-53,2.78
"ARE",2,-52,2.78
"ARE",2,-51,2.78
"ARE",2,-50,2.78
"ARE",2,-49,2.78
"ARE",2,-48,2.78
"ARE",2,-47,2.78
"ARE",2,-46,2.78
"ARE",2,-45,2.78
"ARE",2,-44,2.78
"ARE",2,-43,2.78
"ARE",2,-42,2.78
"ARE",2,-41,2.78
"ARE",2,-40,2.78
"ARE",2,-39,8.33
"ARE",2,-38,8.33
"ARE",2,-37,8.33
"ARE",2,-36,8.33
"ARE",2,-35,8.33
"ARE",2,-34,8.33
"ARE",2,-33,15.74
"ARE",2,-32,15.74
"ARE",2,-31,15.74
"ARE",2,-30,15.74
"ARE",2,-29,15.74
"ARE",2,-28,15.74
"ARE",2,-27,15.74
"ARE",2,-26,21.3
"ARE",2,-25,21.3
"ARE",2,-24,21.3
"ARE",2,-23,32.41
"ARE",2,-22,32.41
"ARE",2,-21,34.26
"ARE",2,-20,34.26
"ARE",2,-19,34.26
"ARE",2,-18,45.37
"ARE",2,-17,45.37
"ARE",2,-16,45.37
"ARE",2,-15,45.37
"ARE",2,-14,45.37
"ARE",2,-13,45.37
"ARE",2,-12,45.37
"ARE",2,-11,62.04
"ARE",2,-10,62.04
"ARE",2,-9,70.37
"ARE",2,-8,73.15
"ARE",2,-7,84.26
"ARE",2,-6,84.26
"ARE",2,-5,84.26
"ARE",2,-4,84.26
"ARE",2,-3,84.26
"ARE",2,-2,84.26
"ARE",2,-1,84.26
"ARE",2,0,84.26
"ARE",2,1,89.81
"ARE",2,2,89.81
"ARE",2,3,89.81
"ARE",2,4,89.81
"ARE",2,5,89.81
"ARE",2,6,89.81
"ARE",2,7,89.81
"ARE",2,8,89.81
"ARE",2,9,89.81
"ARE",2,10,89.81
"ARE",2,11,89.81
"ARE",2,12,89.81
"ARE",2,13,89.81
"ARE",2,14,87.04
"ARE",2,15,87.04
"ARE",2,16,87.04
"ARE",2,17,87.04
"ARE",2,18,87.04
"ARE",2,19,87.04
"ARE",2,20,87.04
"ARE",2,21,87.04
"ARE",2,22,87.04
"ARE",2,23,87.04
"ARE",2,24,87.04
"ARE",2,25,87.04
"ARE",2,26,81.48
"ARE",2,27,81.48
"ARE",2,28,81.48
"ARE",2,29,81.48
"ARE",2,30,81.48
"ARE",2,31,81.48
"ARE",2,32,81.48
"ARE",2,33,81.48
"ARE",2,34,81.48
"ARE",2,35,81.48
"ARE",2,36,81.48
"ARE",2,37,81.48
"ARE",2,38,81.48
"ARE",2,39,81.48
"ARE",2,40,81.48
"ARE",2,41,79.63
"ARE",2,42,74.07
"ARE",2,43,74.07
"ARE",2,44,74.07
"ARE",2,45,72.22
"ARE",2,46,72.22
"ARE",2,47,72.22
"ARE",2,48,72.22
"ARE",2,49,72.22
"ARE",2,50,72.22
"ARE",2,51,72.22
"ARE",2,52,72.22
"ARE",2,53,72.22
"ARE",2,54,72.22
"ARE",2,55,72.22
"ARE",2,56,72.22
"ARE",2,57,72.22
"ARE",2,58,72.22
"ARE",2,59,72.22
"ARE",2,60,69.44
"ARE",2,61,69.44
"ARE",2,62,69.44
"ARE",2,63,69.44
"ARE",2,64,69.44
"ARE",2,65,69.44
"ARE",2,66,69.44
"ARE",2,67,69.44
"ARE",2,68,69.44
"ARE",2,69,69.44
"ARE",2,70,69.44
"ARE",2,71,69.44
"ARE",2,72,69.44
"ARE",2,73,69.44
"ARE",2,74,69.44
"ARE",2,75,69.44
"ARE",2,76,69.44
"ARE",2,77,69.44
"ARE",2,78,69.44
"ARE",2,79,69.44
"ARE",2,80,69.44
"ARE",2,81,69.44
