,countrycode,date,genuine,manual_genuine,number,series_index,value,class,manual_class
28,CHN,2020-07-30,False,False,4,212.0,162.473110665495,2,2
29,CHN,2020-04-05,False,False,2,96.0,87.03355110608776,2,2
30,CIV,2020-06-24,True,True,1,104.0,270.933085624856,2,2
31,CMR,2020-06-09,True,True,1,94.0,257.94749735743886,2,2
32,CMR,2020-07-07,False,False,2,122.0,185.43993112177134,2,2
33,COD,2020-06-21,True,True,1,102.0,134.68115559824216,2,2
34,COG,2020-07-16,True,True,1,122.0,77.72169204667884,3,2
35,COL,2020-08-15,True,False,1,161.0,11041.243846852121,2,1
36,CUB,2020-04-18,True,True,1,37.0,51.11020515537562,3,3
37,CZE,2020-04-02,False,True,1,93.0,240.75841687391602,1,3
38,CZE,2020-06-30,False,False,2,182.0,130.73861597195008,1,3
39,DEU,2020-04-02,True,True,2,93.0,4928.660850195884,2,3
40,DEU,2020-06-23,False,False,3,175.0,486.32012533579734,2,3
41,DJI,2020-05-29,True,True,2,71.0,135.03287400658417,4,2
42,DJI,2020-04-17,True,False,1,29.0,50.8573484556926,4,2
43,DNK,2020-04-07,True,True,1,98.0,250.92443696296647,3,3
44,DNK,2020-08-13,False,False,2,226.0,113.48698070671492,3,3
